time,location_ec-generator_gesamtwirkleistung,location_ec-gesamt_gesamtwirkleistung,location_ec-prozess_gesamtwirkleistung,location_ec-roboter_gesamtwirkleistung,location_roboter-ausgabe_gesamtwirkleistung,location_roboter-eingabe_gesamtwirkleistung,location_transport-gesamt_gesamtwirkleistung,location_wm1-gesamt_gesamtwirkleistung,location_wm1-heizung-reinigen_gesamtwirkleistung,location_wm1-heizung-trocknung_gesamtwirkleistung,location_wm2-gesamt_gesamtwirkleistung,location_wm2-heizung-reinigen_gesamtwirkleistung,location_wm2-heizung-trocknung_gesamtwirkleistung,location_wm2-vakuumpumpe_gesamtwirkleistung,module_1_errorcode,module_1_errorindex,module_1_state,module_1_station_1_process_1_errorcode_0,module_1_station_2_process_1_errorcode_0,module_1_station_31_process_1_errorcode_0,module_1_station_31_process_1_errorcode_998,module_1_station_3_process_1_errorcode_0,module_1_station_4_process_1_errorcode_0,module_1_station_5_process_1_errorcode_0,module_1_station_6_process_1_errorcode_0,module_2_errorcode,module_2_errorindex,module_2_state,module_2_station_1_process_1_errorcode_0,module_2_station_21_process_1_errorcode_999,module_2_station_22_process_1_errorcode_0,module_2_station_24_process_1_errorcode_0,module_2_station_25_process_1_errorcode_51,module_2_station_25_process_1_errorcode_55,module_2_station_28_process_1_errorcode_51,module_2_station_28_process_1_errorcode_55,module_2_station_28_process_1_errorcode_980,module_2_station_3_process_1_errorcode_0,module_2_station_3_process_1_errorcode_998,module_2_station_4_process_1_errorcode_0,module_2_station_4_process_1_errorcode_998,module_2_station_50_process_1_errorcode_0,module_2_station_51_process_1_errorcode_0,module_2_station_51_process_1_errorcode_51,module_2_station_51_process_1_errorcode_55,module_2_station_5_process_1_errorcode_0,module_2_station_5_process_1_errorcode_998,module_2_station_6_process_1_errorcode_0,module_2_station_6_process_1_errorcode_998,module_4_errorcode,module_4_errorindex,module_4_state,module_5_errorcode,module_5_errorindex,module_5_state,module_6_errorcode,module_6_errorindex,module_6_state
2021-02-01T05:00:49.984Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01T05:00:50.000Z,,3709.4697265625,,,,,,,,,25776.376953125,7406.1865234375,8747.0830078125,5483.43701171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01T05:00:52.364Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2021-02-01T05:00:52.426Z,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01T05:00:53.000Z,297.7744445800781,,1292.0115966796875,1773.103515625,966.654541015625,351.805908203125,2116.251708984375,8236.01953125,2436.00830078125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01T05:00:54.499Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
2021-02-01T05:00:55.000Z,,3296.79248046875,,,,,,,,,25755.140625,7405.6259765625,8737.212890625,5480.1015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01T05:00:56.464Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
2021-02-01T05:00:56.807Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
2021-02-01T05:00:58.000Z,422.2732849121094,,1425.1851806640625,801.7196044921875,769.3055419921875,754.9329223632812,2463.5849609375,8238.966796875,2436.50146484375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01T05:00:58.042Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
2021-02-01T05:00:58.693Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01T05:01:00.000Z,,5967.41650390625,,,,,,,,,25775.96875,7405.71484375,8727.8828125,5483.037109375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01T05:01:00.191Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2021-02-01T05:01:00.422Z,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01T05:01:00.633Z,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01T05:01:02.151Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
2021-02-01T05:01:03.000Z,1083.1973876953125,,2150.0576171875,1004.342529296875,391.6524353027344,402.6258239746094,1889.836669921875,8250.498046875,2436.729248046875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01T05:01:04.534Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
2021-02-01T05:01:04.899Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
2021-02-01T05:01:05.000Z,,4399.9208984375,,,,,,,,,25769.95703125,7412.2685546875,8726.3115234375,5480.91796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01T05:01:06.471Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
2021-02-01T05:01:07.153Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01T05:01:07.794Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2021-02-01T05:01:08.000Z,698.891845703125,,1587.7587890625,1464.12255859375,367.66619873046875,359.9948425292969,1681.552734375,8243.7568359375,2436.7783203125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01T05:01:09.564Z,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01T05:01:09.915Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
2021-02-01T05:01:10.000Z,,3719.877197265625,,,,,,,,,25742.150390625,7405.8349609375,8711.849609375,5481.20361328125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01T05:01:11.136Z,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01T05:01:12.214Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
2021-02-01T05:01:13.000Z,249.31248474121094,,1278.4150390625,1236.63671875,329.547607421875,643.6388549804688,1833.584716796875,8235.38671875,2434.276611328125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01T05:01:13.256Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
2021-02-01T05:01:14.852Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
2021-02-01T05:01:15.000Z,,3286.96435546875,,,,,,,,,25521.384765625,7393.5634765625,8689.689453125,5479.16796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01T05:01:15.422Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2021-02-01T05:01:15.506Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01T05:01:17.530Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
2021-02-01T05:01:18.000Z,780.3920288085938,,1784.71435546875,973.361572265625,702.1026611328125,508.11859130859375,2257.124755859375,8233.5546875,2434.640380859375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01T05:01:19.530Z,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01T05:01:19.915Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
2021-02-01T05:01:20.000Z,,4813.2236328125,,,,,,,,,25555.70703125,7401.572265625,8695.15234375,5479.36767578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01T05:01:20.554Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,
2021-02-01T05:01:21.054Z,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01T05:01:22.304Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
2021-02-01T05:01:23.000Z,835.0302124023438,,1744.498291015625,950.1944580078125,735.4961547851562,339.86090087890625,1761.826171875,8223.767578125,2432.317626953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01T05:01:23.157Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2021-02-01T05:01:23.916Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
2021-02-01T05:01:24.523Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01T05:01:25.000Z,,3955.470458984375,,,,,,,,,25449.201171875,7401.59033203125,8690.6201171875,5479.78515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
